log_id,brigade_id,log_date,shift_start_time,shift_end_time,start_depth_m,end_depth_m,drilled_depth_m,weather,logistics_issue
1,BRIGADE_01,2023-01-01,2023-01-01 16:34:00,2023-01-02 02:46:34.867204,58.33,102.49,44.16,Snowy,False
2,BRIGADE_01,2023-01-01,2023-01-01 00:14:00,2023-01-01 06:55:59.651522,4.4,28.5,24.1,Cloudy,False
3,BRIGADE_02,2023-01-01,2023-01-01 09:44:00,2023-01-01 19:32:14.694961,295.5,374.45,78.95,Snowy,False
4,BRIGADE_02,2023-01-01,2023-01-01 11:04:00,2023-01-01 19:05:58.531512,141.36,165.68,24.31,Cloudy,False
5,BRIGADE_02,2023-01-01,2023-01-01 02:37:00,2023-01-01 09:11:03.955000,479.46,499.16,19.69,Snowy,False
6,BRIGADE_03,2023-01-01,2023-01-01 11:24:00,2023-01-01 17:58:29.559401,238.05,265.21,27.15,Rainy,False
7,BRIGADE_04,2023-01-01,2023-01-01 23:15:00,2023-01-02 09:54:33.708262,21.72,118.17,96.45,Windy,False
8,BRIGADE_04,2023-01-01,2023-01-01 22:02:00,2023-01-02 08:27:53.864093,347.36,433.36,86.0,Snowy,False
9,BRIGADE_05,2023-01-01,2023-01-01 15:40:00,2023-01-02 00:23:18.400056,400.98,424.53,23.55,Windy,False
10,BRIGADE_05,2023-01-01,2023-01-01 14:50:00,2023-01-02 01:15:11.054101,497.51,562.97,65.46,Sunny,False
11,BRIGADE_06,2023-01-01,2023-01-01 05:00:00,2023-01-01 12:20:19.964503,7.29,85.11,77.81,Cloudy,False
12,BRIGADE_06,2023-01-01,2023-01-01 17:18:00,2023-01-02 05:16:04.774384,178.34,206.25,27.91,Sunny,False
13,BRIGADE_07,2023-01-01,2023-01-01 10:07:00,2023-01-01 21:08:42.020699,303.36,318.7,15.33,Windy,False
14,BRIGADE_07,2023-01-01,2023-01-01 01:43:00,2023-01-01 11:27:18.697062,61.24,87.39,26.15,Sunny,False
15,BRIGADE_08,2023-01-01,2023-01-01 20:18:00,2023-01-02 07:49:34.641098,31.53,48.23,16.7,Windy,False
16,BRIGADE_08,2023-01-01,2023-01-01 08:11:00,2023-01-01 18:18:45.893782,313.24,340.57,27.34,Sunny,False
17,BRIGADE_08,2023-01-01,2023-01-01 08:30:00,2023-01-01 20:15:56.107410,131.28,147.12,15.84,Cloudy,False
18,BRIGADE_09,2023-01-01,2023-01-01 10:34:00,2023-01-01 21:21:09.262329,32.71,86.91,54.2,Windy,False
19,BRIGADE_09,2023-01-01,2023-01-01 12:19:00,2023-01-01 21:35:57.468773,471.43,487.98,16.55,Snowy,False
20,BRIGADE_09,2023-01-01,2023-01-01 04:08:00,2023-01-01 14:04:37.737053,37.18,86.93,49.75,Snowy,False
21,BRIGADE_10,2023-01-01,2023-01-01 02:17:00,2023-01-01 13:41:49.530751,385.35,420.42,35.07,Cloudy,False
22,BRIGADE_10,2023-01-01,2023-01-01 16:52:00,2023-01-02 01:02:19.232461,17.33,48.41,31.08,Windy,False
23,BRIGADE_01,2023-01-02,2023-01-02 16:17:00,2023-01-03 03:28:06.471017,345.97,445.0,99.03,Windy,False
24,BRIGADE_02,2023-01-02,2023-01-02 04:14:00,2023-01-02 15:47:10.761108,182.88,203.04,20.16,Snowy,False
25,BRIGADE_02,2023-01-02,2023-01-02 15:09:00,2023-01-03 02:36:19.869333,39.49,131.57,92.08,Windy,False
26,BRIGADE_03,2023-01-02,2023-01-02 18:40:00,2023-01-03 05:07:16.063163,343.37,393.77,50.41,Rainy,False
27,BRIGADE_03,2023-01-02,2023-01-02 05:44:00,2023-01-02 12:37:08.003748,498.66,538.7,40.04,Sunny,False
28,BRIGADE_04,2023-01-02,2023-01-02 22:13:00,2023-01-03 07:51:48.548244,83.28,142.2,58.93,Sunny,False
29,BRIGADE_04,2023-01-02,2023-01-02 03:06:00,2023-01-02 11:26:53.725466,250.72,318.16,67.44,Snowy,False
30,BRIGADE_04,2023-01-02,2023-01-02 12:08:00,2023-01-02 19:49:07.924749,406.31,430.87,24.55,Cloudy,False
31,BRIGADE_05,2023-01-02,2023-01-02 02:20:00,2023-01-02 11:35:05.051875,468.54,566.55,98.01,Cloudy,False
32,BRIGADE_05,2023-01-02,2023-01-02 09:01:00,2023-01-02 15:13:18.454059,102.8,130.33,27.53,Rainy,False
33,BRIGADE_05,2023-01-02,2023-01-02 02:11:00,2023-01-02 11:33:27.668911,428.88,522.16,93.28,Rainy,False
34,BRIGADE_06,2023-01-02,2023-01-02 22:17:00,2023-01-03 09:36:30.214487,413.14,445.48,32.34,Snowy,False
35,BRIGADE_06,2023-01-02,2023-01-02 04:19:00,2023-01-02 11:53:48.736438,202.3,284.02,81.72,Rainy,False
36,BRIGADE_07,2023-01-02,2023-01-02 05:18:00,2023-01-02 14:00:12.324264,445.23,497.74,52.51,Snowy,False
37,BRIGADE_07,2023-01-02,2023-01-02 22:36:00,2023-01-03 09:52:04.107871,248.16,292.18,44.01,Windy,False
38,BRIGADE_08,2023-01-02,2023-01-02 22:17:00,2023-01-03 07:47:10.074140,125.88,156.14,30.25,Rainy,False
39,BRIGADE_09,2023-01-02,2023-01-02 01:23:00,2023-01-02 08:44:00.641578,214.69,227.67,12.97,Snowy,False
40,BRIGADE_09,2023-01-02,2023-01-02 17:44:00,2023-01-03 02:21:21.096423,2.27,84.5,82.23,Snowy,True
41,BRIGADE_10,2023-01-02,2023-01-02 05:49:00,2023-01-02 15:38:39.655568,332.3,371.48,39.18,Snowy,False
42,BRIGADE_01,2023-01-03,2023-01-03 15:00:00,2023-01-04 00:26:13.116004,23.82,48.95,25.13,Rainy,True
43,BRIGADE_01,2023-01-03,2023-01-03 18:21:00,2023-01-04 05:21:20.158893,4.68,45.99,41.31,Sunny,False
44,BRIGADE_02,2023-01-03,2023-01-03 15:03:00,2023-01-04 02:42:41.876604,36.5,80.98,44.47,Rainy,False
45,BRIGADE_02,2023-01-03,2023-01-03 14:16:00,2023-01-03 20:38:18.334304,115.42,127.83,12.41,Sunny,False
46,BRIGADE_02,2023-01-03,2023-01-03 01:03:00,2023-01-03 07:09:37.545307,383.94,444.14,60.2,Windy,False
47,BRIGADE_03,2023-01-03,2023-01-03 17:21:00,2023-01-04 02:02:38.630191,432.72,506.07,73.35,Windy,False
48,BRIGADE_04,2023-01-03,2023-01-03 01:00:00,2023-01-03 09:20:40.087959,414.13,474.35,60.22,Sunny,False
49,BRIGADE_05,2023-01-03,2023-01-03 19:49:00,2023-01-04 03:08:00.702129,304.53,364.18,59.65,Cloudy,False
50,BRIGADE_06,2023-01-03,2023-01-03 01:24:00,2023-01-03 10:17:52.535476,413.71,470.6,56.88,Rainy,True
51,BRIGADE_06,2023-01-03,2023-01-03 02:34:00,2023-01-03 10:50:25.686779,323.49,403.11,79.63,Rainy,False
52,BRIGADE_06,2023-01-03,2023-01-03 06:06:00,2023-01-03 13:37:56.749942,137.57,168.48,30.91,Cloudy,False
53,BRIGADE_07,2023-01-03,2023-01-03 02:39:00,2023-01-03 11:43:03.081744,348.03,360.42,12.39,Rainy,False
54,BRIGADE_07,2023-01-03,2023-01-03 13:00:00,2023-01-03 23:12:11.798141,224.42,246.76,22.34,Windy,False
55,BRIGADE_08,2023-01-03,2023-01-03 06:12:00,2023-01-03 16:44:53.786154,159.54,199.71,40.17,Snowy,False
56,BRIGADE_09,2023-01-03,2023-01-03 12:20:00,2023-01-03 21:08:36.010249,276.78,310.21,33.43,Snowy,False
57,BRIGADE_10,2023-01-03,2023-01-03 01:30:00,2023-01-03 12:04:31.254451,356.78,426.02,69.24,Snowy,False
58,BRIGADE_01,2023-01-04,2023-01-04 07:46:00,2023-01-04 18:21:44.949292,283.7,341.51,57.81,Rainy,False
59,BRIGADE_01,2023-01-04,2023-01-04 14:00:00,2023-01-04 23:41:21.301863,493.73,547.83,54.09,Rainy,False
60,BRIGADE_02,2023-01-04,2023-01-04 21:14:00,2023-01-05 05:11:16.600925,137.42,149.42,12.0,Sunny,False
